n° observation,phase,AX Vel from a,AX Vel from b,AX Vel from c,AX Vel from d,HD 68395 from b,HD 68395 from c,HD 68395 from d
7,0.3721513939972283,8.226260835205048,8.243592234315164,8.177717748674372,8.207925562123362,8.117331399110116,8.051456913469323,8.081664726918314
7,0.3725370639558605,8.243266614188327,8.20890071545066,8.159347033888798,8.196097932384315,8.065634101262331,8.016080419700469,8.052831318195988
7,0.3725370639558605,8.20277543239245,8.239460041828856,8.171582135228238,8.183179888394799,8.136684609436406,8.068806702835788,8.08040445600235
7,0.3725370639558605,8.200295183046867,8.220548932957652,8.149078224989031,8.175394894139272,8.120253749910784,8.048783041942166,8.075099711092404
7,0.3725370639558605,8.221770853018212,8.257283265695373,8.180146063054428,8.222986048328735,8.13551241267716,8.058375210036216,8.101215195310523
7,0.3725370639558605,8.180842441400374,8.198299400479158,8.114075402849014,8.171024360301145,8.117456959078785,8.033232961448642,8.09018191890077
7,0.37292273373441276,8.184804358330288,8.222882920845528,8.161567242681324,8.203661868774304,8.13807856251524,8.076762884351036,8.118857510444018
8,0.1276787184388013,8.271239870886426,8.308985694656823,8.235320175678504,8.298946217491828,8.137745823770398,8.06408030479208,8.127706346605404
8,0.1276787184388013,8.276446317517212,8.260494817678413,8.185984460894417,8.23943739571011,8.0840485001612,8.009538143377204,8.062991078192898
8,0.1276787184388013,8.255034054845153,8.222210263999793,8.16193793601562,8.203748065074512,8.06717620915464,8.006903881170468,8.048714010229359
8,0.1276787184388013,8.273954737222947,8.293650549759906,8.206856104407946,8.263540779209643,8.119695812536959,8.032901367184998,8.089586041986696
8,0.1276787184388013,8.293280135489258,8.234688432349254,8.199231588938462,8.250930975429617,8.041408296859995,8.005951453449201,8.057650839940356
8,0.1276787184388013,8.28338711371613,8.311146959086964,8.214741547811666,8.282473163405218,8.127759845370834,8.031354434095537,8.099086049689088
8,0.1276787184388013,8.266618839309931,8.334253953540014,8.227226723312631,8.277318198901193,8.167635114230082,8.060607884002698,8.11069935959126
8,0.1280643883974335,8.232202817484803,8.22537288532403,8.183246316827612,8.194770632537798,8.093170067839225,8.051043499342809,8.062567815052995
8,0.1280643883974335,8.266501191612209,8.287396427839946,8.188505643510643,8.25987328843683,8.120895236227737,8.022004451898434,8.093372096824622
8,0.1280643883974335,8.227130287667704,8.20882716161973,8.200843629124423,8.178365729082765,8.081696873952026,8.073713341456719,8.051235441415061
