date [HJD],V [mag],V-B [mag],source,note
2443906.2102,8.345,,Barrell,Johnson V
2443906.215,8.34,,Barrell,Johnson V
2443906.2198,8.329,,Barrell,Johnson V
2443906.2244,8.334,,Barrell,Johnson V
2443906.2296,8.33,,Barrell,Johnson V
2443906.2352,8.318,,Barrell,Johnson V
2443906.2397,8.329,,Barrell,Johnson V
2443906.2449,8.319,,Barrell,Johnson V
2443906.9508,8.154,,Barrell,Johnson V
2443906.9558,8.176,,Barrell,Johnson V
2443906.9609,8.17,,Barrell,Johnson V
2443906.9656,8.172,,Barrell,Johnson V
2443906.9714,8.172,,Barrell,Johnson V
2443906.9755,8.167,,Barrell,Johnson V
2443906.98,8.169,,Barrell,Johnson V
2443906.9849,8.175,,Barrell,Johnson V
2443906.9894,8.161,,Barrell,Johnson V
2443907.0506,8.153,,Barrell,Johnson V
2443907.0584,8.15,,Barrell,Johnson V
2443907.0629,8.15,,Barrell,Johnson V
2443907.068,8.149,,Barrell,Johnson V
2443907.0738,8.151,,Barrell,Johnson V
2443907.0791,8.152,,Barrell,Johnson V
2443907.0841,8.154,,Barrell,Johnson V
2443907.0945,8.157,,Barrell,Johnson V
2443907.0996,8.158,,Barrell,Johnson V
2443907.1044,8.153,,Barrell,Johnson V
2443907.1109,8.149,,Barrell,Johnson V
2443907.1229,8.155,,Barrell,Johnson V
2443907.1283,8.152,,Barrell,Johnson V
2443907.1342,8.146,,Barrell,Johnson V
2443907.1391,8.143,,Barrell,Johnson V
2443907.1456,8.138,,Barrell,Johnson V
2443907.1507,8.144,,Barrell,Johnson V
2443907.1564,8.139,,Barrell,Johnson V
2443907.1641,8.136,,Barrell,Johnson V
2443907.1693,8.137,,Barrell,Johnson V
2443907.1742,8.141,,Barrell,Johnson V
2443907.1795,8.149,,Barrell,Johnson V
2443907.1846,8.15,,Barrell,Johnson V
2443907.1903,8.156,,Barrell,Johnson V
2443907.1966,8.158,,Barrell,Johnson V
2443907.2015,8.141,,Barrell,Johnson V
2443907.2065,8.15,,Barrell,Johnson V
2443907.2117,8.139,,Barrell,Johnson V
2443907.2169,8.138,,Barrell,Johnson V
2443907.2233,8.133,,Barrell,Johnson V
2443907.2287,8.134,,Barrell,Johnson V
2443907.2353,8.15,,Barrell,Johnson V
2443912.0766,7.942,,Barrell,Johnson V
2443912.0812,7.944,,Barrell,Johnson V
2443912.0868,7.942,,Barrell,Johnson V
2443912.1536,7.957,,Barrell,Johnson V
2443912.1605,7.962,,Barrell,Johnson V
2443912.1689,7.977,,Barrell,Johnson V
2443912.1745,7.968,,Barrell,Johnson V
2443912.2004,7.98,,Barrell,Johnson V
2443912.2063,7.979,,Barrell,Johnson V
2443912.2127,7.989,,Barrell,Johnson V
2443912.2171,7.986,,Barrell,Johnson V
2443912.2216,7.982,,Barrell,Johnson V
2443912.226,7.989,,Barrell,Johnson V
2443912.2306,7.988,,Barrell,Johnson V
2443912.2369,7.994,,Barrell,Johnson V
2443914.1593,8.311,,Barrell,Johnson V
2443914.1677,8.313,,Barrell,Johnson V
2443914.176,8.305,,Barrell,Johnson V
2443916.0949,8.275,,Barrell,Johnson V
2443916.0983,8.275,,Barrell,Johnson V
2443916.1039,8.273,,Barrell,Johnson V
2443916.9393,8.171,,Barrell,Johnson V
2443916.9442,8.173,,Barrell,Johnson V
2443916.949,8.191,,Barrell,Johnson V
2443917.0463,8.16,,Barrell,Johnson V
2443917.0511,8.163,,Barrell,Johnson V
2443917.9372,8.269,,Barrell,Johnson V
2443917.9456,8.271,,Barrell,Johnson V
2443917.9511,8.269,,Barrell,Johnson V
2443917.956,8.272,,Barrell,Johnson V
2443920.9421,8.383,,Barrell,Johnson V
2443920.9463,8.389,,Barrell,Johnson V
2443920.9504,8.389,,Barrell,Johnson V
2443920.9553,8.388,,Barrell,Johnson V
2443921.0997,8.421,,Barrell,Johnson V
2443921.106,8.422,,Barrell,Johnson V
2443921.1108,8.428,,Barrell,Johnson V
2443921.1164,8.432,,Barrell,Johnson V
2439568.4,8.31,,Stobie et Hawarden,Johnson V
2439571.32,8.08,,Stobie et Hawarden,Johnson V
2439571.42,8.09,,Stobie et Hawarden,Johnson V
2439583.34,8.47,,Stobie et Hawarden,Johnson V
2439585.35,8.22,,Stobie et Hawarden,Johnson V
2439586.33,8.33,,Stobie et Hawarden,Johnson V
2439591.26,8.43,,Stobie et Hawarden,Johnson V
2439591.38,8.39,,Stobie et Hawarden,Johnson V
2439602.35,8.16,,Stobie et Hawarden,Johnson V
2439604.245,8.3,,Stobie et Hawarden,Johnson V
2439626.26,8.11,,Stobie et Hawarden,Johnson V
2439627.255,8.43,,Stobie et Hawarden,Johnson V
2440922.598,8.23,,Stobie et Hawarden,Johnson V
2440957.096,8.38,,Stobie et Hawarden,Johnson V
2440958.102,8.19,,Stobie et Hawarden,Johnson V
2440960.119,8.39,,Stobie et Hawarden,Johnson V
2440980.43,8.2,,Stobie et Hawarden,Johnson V
2440984.437,7.91,,Stobie et Hawarden,Johnson V
2440988.429,8.26,,Stobie et Hawarden,Johnson V
2440994.421,8.3,,Stobie et Hawarden,Johnson V
2440995.381,8.03,,Stobie et Hawarden,Johnson V
2440999.404,8.15,,Stobie et Hawarden,Johnson V
2441001.424,8.44,,Stobie et Hawarden,Johnson V
2441006.409,8.19,,Stobie et Hawarden,Johnson V
2441023.381,8.2,,Stobie et Hawarden,Johnson V
2441040.903,8.35,,Stobie et Hawarden,Johnson V
2441042.084,8.18,,Stobie et Hawarden,Johnson V
2441043.905,8.07,,Stobie et Hawarden,Johnson V
2441044.913,8.26,,Stobie et Hawarden,Johnson V
2441045.903,8.4,,Stobie et Hawarden,Johnson V
2441046.886,7.95,,Stobie et Hawarden,Johnson V
2441047.884,8.31,,Stobie et Hawarden,Johnson V
2441048.093,8.36,,Stobie et Hawarden,Johnson V
2441115.889,8.34,,Stobie et Hawarden,Johnson V
2443123.5447,8.158999999999999,,Stobie et Balona,Johnson V
2443155.4114,8.1,,Stobie et Balona,Johnson V
2443156.498,8.361,,Stobie et Balona,Johnson V
2443158.3748,8.245,,Stobie et Balona,Johnson V
2443158.5618,8.271,,Stobie et Balona,Johnson V
2443159.3202,8.129,,Stobie et Balona,Johnson V
2443159.5252,8.094,,Stobie et Balona,Johnson V
2443160.3029,8.15,,Stobie et Balona,Johnson V
2443160.5121,8.213,,Stobie et Balona,Johnson V
2443161.3044,8.437999999999999,,Stobie et Balona,Johnson V
2443161.5059,8.46,,Stobie et Balona,Johnson V
2443162.3031,7.989,,Stobie et Balona,Johnson V
2443162.515,7.933,,Stobie et Balona,Johnson V
2443163.3038,8.193,,Stobie et Balona,Johnson V
2443163.5088,8.264,,Stobie et Balona,Johnson V
2443164.4556,8.419,,Stobie et Balona,Johnson V
2443165.4591,8.088,,Stobie et Balona,Johnson V
2443166.4238,8.248,,Stobie et Balona,Johnson V
2443167.4166,8.158,,Stobie et Balona,Johnson V
2443168.3284,8.242,,Stobie et Balona,Johnson V
2443169.372,8.339,,Stobie et Balona,Johnson V
2443172.4706,8.295,,Stobie et Balona,Johnson V
2443173.4027,8.038,,Stobie et Balona,Johnson V
2443173.5572,8.094,,Stobie et Balona,Johnson V
2443174.4298,8.318999999999999,,Stobie et Balona,Johnson V
2443174.5773,8.329,,Stobie et Balona,Johnson V
2443176.2916,8.232000000000001,,Stobie et Balona,Johnson V
2443176.5038,8.292,,Stobie et Balona,Johnson V
2443177.5023,8.094,,Stobie et Balona,Johnson V
2443178.322,8.088,,Stobie et Balona,Johnson V
2443178.5116,8.145,,Stobie et Balona,Johnson V
2443181.2887,8.103,,Stobie et Balona,Johnson V
2443181.5617,8.195,,Stobie et Balona,Johnson V
2443182.2898,8.369,,Stobie et Balona,Johnson V
2443182.5242,8.386000000000001,,Stobie et Balona,Johnson V
2443183.3051,8.181000000000001,,Stobie et Balona,Johnson V
2443184.2968,8.248,,Stobie et Balona,Johnson V
2443184.5136,8.262,,Stobie et Balona,Johnson V
2443186.4733,8.408,,Stobie et Balona,Johnson V
2443188.3778,7.936,,Stobie et Balona,Johnson V
2443262.2815,8.255,,Stobie et Balona,Johnson V
2443269.2282,8.019,,Stobie et Balona,Johnson V
2443280.2663,8.211,,Stobie et Balona,Johnson V
2443288.2429,8.299,,Stobie et Balona,Johnson V
2443289.2289,8.293,,Stobie et Balona,Johnson V
2443291.2119,8.236,,Stobie et Balona,Johnson V
2443292.2193,8.04,,Stobie et Balona,Johnson V
2443297.2106,8.197000000000001,,Stobie et Balona,Johnson V
2443526.5421,8.196,,Stobie et Balona,Johnson V
2443528.3034,8.195,,Stobie et Balona,Johnson V
2443530.5194,8.015,,Stobie et Balona,Johnson V
2443532.5363,8.422,,Stobie et Balona,Johnson V
2443533.5224,7.956,,Stobie et Balona,Johnson V
2443534.3017,8.227,,Stobie et Balona,Johnson V
2443535.3252,8.373,,Stobie et Balona,Johnson V
2443536.2896,8.122,,Stobie et Balona,Johnson V
2443536.5462,8.132,,Stobie et Balona,Johnson V
2443538.2935,8.111,,Stobie et Balona,Johnson V
2443539.3011,8.267000000000001,,Stobie et Balona,Johnson V
2442863.31,8.45,,Dean,
2442866.35,8.29,,Dean,
2442867.281,8.19,,Dean,
2442919.211,8.14,,Dean,
2442920.215,8.28,,Dean,
2440665.3789,-0.473,0.245,Pel,Walraven VBLUW
2440675.3706,-0.5479999999999999,0.275,Pel,Walraven VBLUW
2440676.3353,-0.479,0.254,Pel,Walraven VBLUW
2440677.335,-0.618,0.325,Pel,Walraven VBLUW
2440682.341,-0.609,0.306,Pel,Walraven VBLUW
2440684.3141,-0.531,0.28600000000000003,Pel,Walraven VBLUW
2440689.3112,-0.529,0.27699999999999997,Pel,Walraven VBLUW
2440707.2815,-0.54,0.281,Pel,Walraven VBLUW
2440709.2781,-0.493,0.252,Pel,Walraven VBLUW
2440710.2686,-0.542,0.292,Pel,Walraven VBLUW
2440711.2425,-0.643,0.33,Pel,Walraven VBLUW
2440714.2594,-0.621,0.316,Pel,Walraven VBLUW
2440716.2613,-0.575,0.293,Pel,Walraven VBLUW
2440717.2544,-0.511,0.265,Pel,Walraven VBLUW
2440718.2524,-0.581,0.299,Pel,Walraven VBLUW
2440728.2378,-0.503,0.267,Pel,Walraven VBLUW
2440729.2466,-0.643,0.32899999999999996,Pel,Walraven VBLUW
2440733.2605,-0.52,0.289,Pel,Walraven VBLUW
2440734.2111,-0.573,0.298,Pel,Walraven VBLUW
2440735.211,-0.498,0.258,Pel,Walraven VBLUW
2440736.2104,-0.556,0.289,Pel,Walraven VBLUW
2440737.2105,-0.643,0.327,Pel,Walraven VBLUW
2440738.2088,-0.442,0.23399999999999999,Pel,Walraven VBLUW
2440740.2193,-0.628,0.313,Pel,Walraven VBLUW
2440741.214,-0.504,0.259,Pel,Walraven VBLUW
2440742.2004,-0.569,0.29600000000000004,Pel,Walraven VBLUW
2440746.1928,-0.467,0.252,Pel,Walraven VBLUW
2440873.6047,-0.51,0.266,Pel,Walraven VBLUW
2440875.5488,-0.526,0.26899999999999996,Pel,Walraven VBLUW
2440896.548,-0.45299999999999996,0.239,Pel,Walraven VBLUW
2441018.3519,-0.484,0.258,Pel,Walraven VBLUW
2441053.2743,-0.62,0.317,Pel,Walraven VBLUW
2441077.2591,-0.5670000000000001,0.285,Pel,Walraven VBLUW
2441079.1974,-0.607,0.302,Pel,Walraven VBLUW
2441082.2279,-0.649,0.32299999999999995,Pel,Walraven VBLUW
2441090.1811,-0.586,0.28600000000000003,Pel,Walraven VBLUW
2441104.2119,-0.5429999999999999,0.275,Pel,Walraven VBLUW
2441106.2058,-0.473,0.249,Pel,Walraven VBLUW
2441107.2115,-0.573,0.297,Pel,Walraven VBLUW
2441108.194,-0.633,0.321,Pel,Walraven VBLUW
2441109.2189,-0.452,0.23199999999999998,Pel,Walraven VBLUW
2441112.215,-0.529,0.272,Pel,Walraven VBLUW
2441114.2096,-0.509,0.264,Pel,Walraven VBLUW
2441116.1897,-0.54,0.259,Pel,Walraven VBLUW
2441120.2136,-0.526,0.271,Pel,Walraven VBLUW
2441122.1811,-0.541,0.27699999999999997,Pel,Walraven VBLUW
2441123.1855,-0.603,0.31,Pel,Walraven VBLUW
2441124.1859,-0.469,0.24100000000000002,Pel,Walraven VBLUW
2434519.268,8.34,,Mitchell,Johnson V
2434522.197,8.41,,Mitchell,Johnson V
2434529.229,8.37,,Mitchell,Johnson V
2434833.323,8.39,,Mitchell,Johnson V
2434834.278,8.2,,Mitchell,Johnson V
2434835.384,8.22,,Mitchell,Johnson V
2434839.238,7.94,,Mitchell,Johnson V
2434847.237,7.99,,Mitchell,Johnson V
2434861.322,8.3,,Mitchell,Johnson V
2434867.284,8.4,,Mitchell,Johnson V
2434869.291,8.34,,Mitchell,Johnson V
2434885.263,8.5,,Mitchell,Johnson V
2434889.27,8.32,,Mitchell,Johnson V
2434907.224,8.31,,Mitchell,Johnson V
2434914.226,8.29,,Mitchell,Johnson V
2434917.204,8.11,,Mitchell,Johnson V
2435161.37,8.13,,Mitchell,Johnson V
2435169.343,8.1,,Mitchell,Johnson V
2435176.346,8.07,,Mitchell,Johnson V
2435177.33,8.1,,Mitchell,Johnson V
2435194.424,8.27,,Mitchell,Johnson V
2435201.298,8.43,,Mitchell,Johnson V
2435208.317,8.2,,Mitchell,Johnson V
2435209.341,8.37,,Mitchell,Johnson V
2435246.245,8.1,,Mitchell,Johnson V
2435256.257,8.37,,Mitchell,Johnson V
2435256.26,8.46,,Mitchell,Johnson V
2435257.239,8.04,,Mitchell,Johnson V
2435270.224,8.11,,Mitchell,Johnson V
